id,date,day,month,year,customer_age,age_group,customer_gender,country,state,product_category,sub_category,product,order_quantity,unit_cost,unit_price,profit,cost,revenue
106740,2014-01-05,1,May,2014,35,Adults (35-64),M,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,LL Road Tire,16,8,21,164,128,292
30758,2014-06-27,27,June,2014,50,Adults (35-64),M,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Blue",25,13,35,428,325,753
40669,2016-05-29,29,May,2016,47,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",12,13,35,256,156,412
53764,2014-02-22,22,February,2014,24,Youth (<25),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,683,1266,1949
36840,2015-12-12,12,December,2015,47,Adults (35-64),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",19,13,35,411,247,658
106083,2015-05-08,5,August,2015,50,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,6,2,5,17,12,29
78325,2016-06-18,18,June,2016,27,Young Adults (25-34),M,Germany,Bayern,Accessories,Tires and Tubes,HL Road Tire,22,12,33,455,264,719
94022,2014-09-04,9,April,2014,47,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,15,5,20
14169,2016-02-24,24,February,2016,22,Youth (<25),F,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,159,108,267
106821,2015-08-15,15,August,2015,57,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,LL Road Tire,9,8,21,109,72,181
97733,2014-07-05,7,May,2014,41,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,23,2,5,44,46,90
46130,2013-04-10,4,October,2013,19,Youth (<25),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",27,42,54,134,1134,1268
2323,2016-01-06,1,June,2016,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,59,42,101
86406,2013-12-24,24,December,2013,29,Young Adults (25-34),M,Germany,Saarland,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,61,58,119
1824,2014-04-19,19,April,2014,18,Youth (<25),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,22,4,10,130,88,218
26202,2013-10-27,27,October,2013,40,Adults (35-64),F,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,29,8,22,323,232,555
32706,2013-09-15,15,September,2013,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Blue",7,13,35,152,91,243
88625,2014-12-03,12,March,2014,48,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,14,2,5,27,28,55
59215,2016-02-14,14,February,2016,24,Youth (<25),F,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,1264,2171,3435
69834,2014-07-06,7,June,2014,38,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Black, 44",1,1555,2443,864,1555,2419
89878,2013-09-19,19,September,2013,22,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,2,1,4,6,2,8
28076,2013-10-15,15,October,2013,32,Young Adults (25-34),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",30,9,24,356,270,626
104754,2016-03-21,21,March,2016,49,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Road Tire Tube,27,1,4,57,27,84
25170,2014-05-15,15,May,2014,26,Young Adults (25-34),F,United Kingdom,England,Accessories,Fenders,Fender Set - Mountain,14,8,22,184,112,296
1025,2016-05-13,13,May,2016,22,Youth (<25),M,Australia,New South Wales,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,317,236,553
37774,2014-07-20,20,July,2014,46,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",30,13,35,639,390,1029
90204,2014-02-21,21,February,2014,41,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,7,11,30,129,77,206
80945,2016-07-31,31,July,2016,42,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,10,10,20
78035,2014-03-20,20,March,2014,43,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,20,2,5,56,40,96
81965,2016-03-31,31,March,2016,49,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,24,1,2,13,24,37
91021,2014-06-21,21,June,2014,23,Youth (<25),F,Germany,Saarland,Accessories,Tires and Tubes,ML Mountain Tire,2,11,30,27,22,49
63417,2016-04-05,4,May,2016,44,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,120,344,464
57180,2013-08-28,28,August,2013,51,Adults (35-64),F,Germany,Saarland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,636,1266,1902
60170,2012-12-12,12,December,2012,37,Adults (35-64),M,France,Seine (Paris),Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1526,4342,5868
26847,2016-05-28,28,May,2016,53,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,18,8,22,248,144,392
68278,2014-04-23,23,April,2014,20,Youth (<25),M,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,83,344,427
65205,2011-06-17,17,June,2011,17,Youth (<25),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 42",4,1083,1701,1383,4332,5715
44218,2014-11-04,11,April,2014,25,Young Adults (25-34),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",2,42,54,1,84,85
63264,2013-06-30,30,June,2013,44,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,713,1120,362,713,1075
1370,2014-04-05,4,May,2014,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7
30647,2016-09-06,9,June,2016,47,Adults (35-64),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",24,13,35,419,312,731
22994,2014-05-23,23,May,2014,43,Adults (35-64),F,France,Seine Saint Denis,Accessories,Cleaners,Bike Wash - Dissolver,21,3,8,75,63,138
67738,2012-12-13,13,December,2012,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,1083,1701,794,2166,2960
21082,2014-06-02,6,February,2014,22,Youth (<25),M,Germany,Saarland,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7
62797,2015-08-30,30,August,2015,31,Young Adults (25-34),M,Australia,Tasmania,Bikes,Road Bikes,"Road-150 Red, 52",3,2171,3578,2182,6513,8695
53032,2013-05-03,5,March,2013,35,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,745,1252,1997
17549,2015-09-15,15,September,2015,56,Adults (35-64),F,France,Seine (Paris),Clothing,Caps,AWC Logo Cap,14,7,9,5,98,103
24952,2014-03-05,3,May,2014,29,Young Adults (25-34),M,United Kingdom,England,Accessories,Fenders,Fender Set - Mountain,5,8,22,66,40,106
44751,2016-03-24,24,March,2016,20,Youth (<25),M,Canada,British Columbia,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",5,42,54,57,210,267
33629,2015-12-15,15,December,2015,23,Youth (<25),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",24,13,35,343,312,655
102351,2016-11-03,11,March,2016,42,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Touring Tire Tube,27,2,5,80,54,134
63450,2012-04-02,4,February,2012,18,Youth (<25),M,Australia,South Australia,Bikes,Road Bikes,"Road-750 Black, 58",2,344,540,198,688,886
48172,2013-08-30,30,August,2013,17,Youth (<25),M,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",9,42,54,98,378,476
53455,2016-03-13,13,March,2016,30,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1902,2504,4406
36040,2014-04-22,22,April,2014,24,Youth (<25),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",5,13,35,107,65,172
104947,2015-11-10,11,October,2015,22,Youth (<25),F,United States,California,Accessories,Tires and Tubes,LL Road Tire,15,8,21,189,120,309
24728,2014-01-16,16,January,2014,40,Adults (35-64),M,United States,California,Accessories,Fenders,Fender Set - Mountain,13,8,22,176,104,280
73010,2014-07-24,24,July,2014,68,Seniors (64+),F,United States,California,Clothing,Shorts,"Women's Mountain Shorts, L",10,26,70,426,260,686
70664,2012-08-27,27,August,2012,29,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",2,2171,3578,2671,4342,7013
22221,2016-02-02,2,February,2016,35,Adults (35-64),M,Australia,Queensland,Accessories,Cleaners,Bike Wash - Dissolver,17,3,8,63,51,114
71730,2013-10-28,28,October,2013,22,Youth (<25),F,Australia,New South Wales,Clothing,Shorts,"Women's Mountain Shorts, M",28,26,70,977,728,1705
35213,2016-04-20,20,April,2016,20,Youth (<25),F,Australia,Victoria,Accessories,Helmets,"Sport-100 Helmet, Red",12,13,35,176,156,332
107722,2014-08-07,8,July,2014,28,Young Adults (25-34),M,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,17,30,47
17954,2013-10-11,10,November,2013,30,Young Adults (25-34),M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,30,7,9,49,210,259
42405,2016-03-01,3,January,2016,42,Adults (35-64),F,United Kingdom,England,Accessories,Hydration Packs,Hydration Pack - 70 oz.,15,21,55,477,315,792
16397,2016-01-04,1,April,2016,25,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,10,2,5,24,20,44
92608,2014-03-28,28,March,2014,40,Adults (35-64),F,Australia,Victoria,Accessories,Tires and Tubes,HL Road Tire,11,12,33,155,132,287
112555,2016-01-24,24,January,2016,37,Adults (35-64),F,Australia,Victoria,Clothing,Vests,"Classic Vest, S",30,24,64,797,720,1517
36082,2014-07-14,14,July,2014,46,Adults (35-64),M,France,Yveline,Accessories,Helmets,"Sport-100 Helmet, Red",17,13,35,231,221,452
85446,2013-09-30,30,September,2013,37,Adults (35-64),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,4,8,12
9298,2015-09-29,29,September,2015,17,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,23,16,39
64045,2015-06-28,28,June,2015,42,Adults (35-64),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 62",3,2171,3578,1967,6513,8480
11648,2016-06-04,6,April,2016,48,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,26,18,44
87165,2015-12-13,13,December,2015,17,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,14,2,5,41,28,69
97302,2014-06-28,28,June,2014,25,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,12,2,5,35,24,59
9129,2014-03-05,3,May,2014,37,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,73,50,123
42463,2016-06-18,18,June,2016,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,19,21,55,636,399,1035
25138,2013-10-30,30,October,2013,35,Adults (35-64),M,United States,California,Accessories,Fenders,Fender Set - Mountain,4,8,22,54,32,86
63536,2013-07-27,27,July,2013,28,Young Adults (25-34),F,Germany,Bayern,Bikes,Road Bikes,"Road-350-W Yellow, 40",1,1083,1701,601,1083,1684
112399,2015-11-22,22,November,2015,40,Adults (35-64),M,United States,Washington,Clothing,Vests,"Classic Vest, M",15,24,64,389,360,749
83604,2016-10-04,10,April,2016,38,Adults (35-64),F,Australia,South Australia,Accessories,Tires and Tubes,Road Tire Tube,1,1,4,2,1,3
108408,2014-12-05,12,May,2014,50,Adults (35-64),F,Australia,South Australia,Bikes,Touring Bikes,"Touring-3000 Yellow, 50",1,461,742,147,461,608
59406,2013-01-06,1,June,2013,29,Young Adults (25-34),F,United States,Washington,Bikes,Road Bikes,"Road-250 Red, 48",1,1519,2443,387,1519,1906
43875,2015-12-23,23,December,2015,46,Adults (35-64),F,United States,Oregon,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",24,38,50,120,912,1032
107451,2013-09-22,22,September,2013,23,Youth (<25),F,Australia,Queensland,Accessories,Tires and Tubes,Touring Tire Tube,2,2,5,4,4,8
48286,2014-11-01,11,January,2014,23,Youth (<25),M,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",10,42,54,98,420,518
64031,2011-12-28,28,December,2011,45,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-750 Black, 48",4,344,540,438,1376,1814
62122,2013-12-01,12,January,2013,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,550,1083,1633
